lakeid,sampledate,depth,cl,ca,mg,na,k,fe,mn,cond
SP,6/4/1981,1,,,,,,,,
SP,6/4/1981,3,,,,,,,,
SP,6/4/1981,5,,,,,,,,
SP,6/4/1981,7,,,,,,,,
SP,6/4/1981,9,,,,,,,,
SP,6/4/1981,11,,,,,,,,
SP,6/4/1981,13,,,,,,,,
SP,6/4/1981,15,,,,,,,,
SP,6/4/1981,17,,,,,,,,
SP,6/4/1981,19,,,,,,,,
SP,6/16/1981,1,,,,,,,,
SP,6/16/1981,3,,,,,,,,
SP,6/16/1981,5,,,,,,,,
SP,6/16/1981,7,,,,,,,,
SP,6/16/1981,9,,,,,,,,
SP,6/16/1981,11,,,,,,,,
SP,6/16/1981,13,,,,,,,,
SP,6/16/1981,15,,,,,,,,
SP,6/16/1981,17,,,,,,,,
SP,6/16/1981,19,,,,,,,,
SP,6/16/1981,20.3,,,,,,,,
SP,6/30/1981,1,,,,,,,,74
SP,6/30/1981,3,,,,,,,,
SP,6/30/1981,5,,,,,,,,74
SP,6/30/1981,7,,,,,,,,
SP,6/30/1981,9,,,,,,,,
SP,6/30/1981,11,,,,,,,,74
SP,6/30/1981,13,,,,,,,,74
SP,6/30/1981,15,,,,,,,,76
SP,6/30/1981,17,,,,,,,,77
SP,6/30/1981,19,,,,,,,,79
SP,7/16/1981,0,,,,,,,,
SP,7/16/1981,2,,,,,,,,
SP,7/16/1981,4,,,,,,,,
SP,7/16/1981,6,,,,,,,,
SP,7/16/1981,8,,,,,,,,
SP,7/16/1981,10,,,,,,,,
SP,7/16/1981,12,,,,,,,,
SP,7/16/1981,14,,,,,,,,
SP,7/16/1981,16,,,,,,,,
SP,7/16/1981,18,,,,,,,,
SP,7/16/1981,20,,,,,,,,
SP,7/27/1981,1,,,,,,,,
SP,7/27/1981,3,,,,,,,,
SP,7/27/1981,5,,,,,,,,
SP,7/27/1981,7,,,,,,,,
SP,7/27/1981,9,,,,,,,,
SP,7/27/1981,11,,,,,,,,
SP,7/27/1981,13,,,,,,,,
SP,7/27/1981,15,,,,,,,,
SP,7/27/1981,17,,,,,,,,
SP,7/27/1981,19,,,,,,,,
SP,8/11/1981,1,,,,,,,,
SP,8/11/1981,3,,,,,,,,
SP,8/11/1981,5,,,,,,,,
SP,8/11/1981,7,,,,,,,,
SP,8/11/1981,9,,,,,,,,
SP,8/11/1981,11,,,,,,,,
SP,8/11/1981,13,,,,,,,,
SP,8/11/1981,15,,,,,,,,
SP,8/11/1981,17,,,,,,,,
SP,8/11/1981,19,,,,,,,,
SP,8/25/1981,1,,,,,,,,77
SP,8/25/1981,3,,,,,,,,77
SP,8/25/1981,5,,,,,,,,77
SP,8/25/1981,7,,,,,,,,77
SP,8/25/1981,9,,,,,,,,75
SP,8/25/1981,11,,,,,,,,74
SP,8/25/1981,13,,,,,,,,74
SP,8/25/1981,15,,,,,,,,76
SP,8/25/1981,17,,,,,,,,93
SP,8/25/1981,19,,,,,,,,105
SP,9/15/1981,1,,,,,,,,
SP,9/15/1981,3,,,,,,,,
SP,9/15/1981,5,,,,,,,,
SP,9/15/1981,7,,,,,,,,
SP,9/15/1981,9,,,,,,,,
SP,9/15/1981,11,,,,,,,,
SP,9/15/1981,13,,,,,,,,
SP,9/15/1981,15,,,,,,,,
SP,9/15/1981,17,,,,,,,,
SP,9/15/1981,19,,,,,,,,
SP,9/22/1981,0,,,,,,,,89
SP,9/22/1981,2,,,,,,,,
SP,9/22/1981,4,,,,,,,,
SP,9/22/1981,6,,,,,,,,88
SP,9/22/1981,8,,,,,,,,
SP,9/22/1981,10,,,,,,,,87
SP,9/22/1981,12,,,,,,,,86
SP,9/22/1981,14,,,,,,,,89
SP,9/22/1981,16,,,,,,,,103
SP,9/22/1981,18,,,,,,,,118
SP,10/19/1981,0,,,,,,,,
SP,10/19/1981,2,,,,,,,,
SP,10/19/1981,4,,,,,,,,
SP,10/19/1981,6,,,,,,,,
SP,10/19/1981,8,,,,,,,,
